Original Name,Label,Generated Name
solstice logistics KGaA,solstice,"""solstice"""
elm logistics,elm,"""elm"""
niagara logistics GmbH & Co. KG,niagara,"""niagara"""
jade logistics SARL,jade,"""jade"""
meridian logistics Spain GmbH,meridian,"""meridian"""
bengal express Spain SARL,bengal,"""bengal"""
jasper logistics Danmark Ltd,jasper,"""jasper"""
ruffian logistics België KGaA,ruffian,"""ruffian"""
coral transport,coral,"""coral"""
yara-transport GmbH & Co. KG,yara,"""yara"""
mono transport S.L.,mono,"""mono"""
riviera transport GmbH & Co. KG,riviera,"""riviera"""
balsam logistik S.L.,balsam,"""balsam"""
gaia-logistics,gaia,"""gaia"""
kasbah-transport B.V.,kasbah,"""kasbah"""
granite-logistics B.V.,granite,"""granite"""
xylem transport KGaA,xylem,"""xylem"""
nebula-logistik Nederland Inc,nebula,"""nebula"""
yukon-transport SARL,yukon,"""yukon"""
solstice express GmbH & Co. KG,solstice,"""solstice"""
barley logistics GmbH,barley,"""barley"""
sahara transport AG,sahara,"""sahara"""
ibis transport Norge,ibis,"""ibis"""
riviera-transport Norge,riviera,"""riviera"""
quince transport UK S.L.,quince,"""quince"""
eider transport Italy S.L.,eider,"""eider"""
mono transport S.A.,mono,"""mono"""
titan transport GmbH & Co. KG,titan,"""titan"""
yonder logistics,yonder,"""yonder"""
coral-transport Polska,coral,"""coral"""
drift logistics GmbH & Co. KG,drift,"""drift"""
redwood-transport Switzerland,redwood,"""redwood"""
umbriel logistics,umbriel,"""umbriel"""
jasper logistics Italia,jasper,"""jasper"""
mesa-transportes S.L.,mesa,"""mesa"""
umbriel logistics S.L.,umbriel,"""umbriel"""
vivid logistik,vivid,"""vivid"""
zenon-logistik Inc,zenon,"""zenon"""
cumulus-logistics Luxembourg,cumulus,"""cumulus"""
hadrian logistics Italy KG,hadrian,"""hadrian"""
sahara transport España Inc,sahara,"""sahara"""
onyx transport Nederland GmbH & Co. KG,onyx,"""onyx"""
jurassic logistics GmbH,jurassic,"""jurassic"""
lemur logistics SARL,lemur,"""lemur"""
fractal-logistics GmbH & Co. KG,fractal,"""fractal"""
palmar transportes KG,palmar,"""palmar"""
kasbah-transport Inc,kasbah,"""kasbah"""
cumulus logistics UK,cumulus,"""cumulus"""
laguna transportes Spain Inc,laguna,"""laguna"""
quatro logistics Česko B.V.,quatro,"""quatro"""
emberline transport Česko,emberline,"""emberline"""
vortex transport AG,vortex,"""vortex"""
cumulus logistics,cumulus,"""cumulus"""
atlas logistics group Luxembourg KGaA,atlas,"""atlas"""
riviera transport GmbH & Co. KG,riviera,"""riviera"""
redwood-transport S.A.R.L.,redwood,"""redwood"""
xenon logistics Czechia GmbH & Co. KG,xenon,"""xenon"""
yukon transport B.V.,yukon,"""yukon"""
ember transport Italia KG,ember,"""ember"""
xanthe logistics,xanthe,"""xanthe"""
xylem transport GmbH & Co. KG,xylem,"""xylem"""
mirage-transport GmbH,mirage,"""mirage"""
jade logistics GmbH & Co. KG,jade,"""jade"""
helio transport GmbH & Co. KG,helio,"""helio"""
coral transport Norge AG,coral,"""coral"""
firenza-express S.L.,firenza,"""firenza"""
odyssey-transport USA,odyssey,"""odyssey"""
granite logistics,granite,"""granite"""
atlas logistics group Luxembourg S.A.R.L.,atlas,"""atlas"""
balsam logistics GmbH,balsam,"""balsam"""
glacier-logistik SARL,glacier,"""glacier"""
cumulus logistics Belgique AG,cumulus,"""cumulus"""
balsam logistics GmbH & Co. KG,balsam,"""balsam"""
kelvin transport Ltd,kelvin,"""kelvin"""
firenza express S.L.,firenza,"""firenza"""
umbra-logistics B.V.,umbra,"""umbra"""
sirocco logistique Inc,sirocco,"""sirocco"""
andes transportes KGaA,andes,"""andes"""
delta freight,delta,"""delta"""
emberline transport Polska KG,emberline,"""emberline"""
zenon logistik S.A.,zenon,"""zenon"""
riviera-transport België S.A.,riviera,"""riviera"""
fjordline logistics France GmbH & Co. KG,fjordline,"""fjord"""
keystone-transport Switzerland GmbH & Co. KG,keystone,"""keystone"""
waratah-logistics S.A.,waratah,"""waratah"""
zanzibar-transportes,zanzibar,"""zanzibar"""
lilac logistics KG,lilac,"""lilac"""
horizon-transport Norge,horizon,"""horizon"""
terra transport Norge KGaA,terra,"""terra"""
equator logistics Deutschland SARL,equator,"""equator"""
ambergris transport SARL,ambergris,"""ambergris"""
sapphire-transport,sapphire,"""sapphire"""
rapids logistics USA Inc,rapids,"""rapids"""
palmar-transportes Suomi,palmar,"""palmar"""
helio transport SARL,helio,"""helio"""
cascade-logistik Spain S.A.,cascade,"""cascade"""
whisper transport Deutschland GmbH & Co. KG,whisper,"""whisper"""
praxis logistics,praxis,"""praxis"""
fjord transport Luxembourg GmbH,fjord,"""fjord"""
everest logistics Italia GmbH & Co. KG,everest,"""everest"""
onyx transport Luxembourg,onyx,"""onyx"""
zephyr logistics España Inc,zephyr,"""zephyr"""
nocturne-logistik Inc,nocturne,"""nocturne"""
xylem transport,xylem,"""xylen"""
mesa transportes GmbH,mesa,"""mesa"""
lemur-logistik,lemur,"""lemur"""
banyan transport Luxembourg GmbH & Co. KG,banyan,"""banyan"""
jasper logistics España GmbH & Co. KG,jasper,"""jasper"""
praxis logistics Sverige,praxis,"""praxis"""
helio transport KG,helio,"""helio"""
nocturne-logistik,nocturne,"""nocturne"""
barley-logistics,barley,"""barley"""
polar freight Portugal,polar,"""polar"""
cascade logistik België SARL,cascade,"""cascade"""
granite-logistics España GmbH,granite,"""granite"""
keystone transport KG,keystone,"""keystone"""
mesa transportes S.A.R.L.,mesa,"""mesa"""
falcon transport,falcon,"""falcon"""
mesa-transp.,mesa,"""mesa"""
dorsal logistik,dorsal,"""dorsal"""
drift logistics Sverige,drift,"""drift"""
laguna transportes,laguna,"""laguna"""
obsidian-logistik Schweiz S.A.R.L.,obsidian,"""obsidian"""
drift logistics Spain S.A.,drift,"""drift"""
inkwell-transport Ltd,inkwell,"""inkwell"""
valhalla logistics,valhalla,"""valhalla"""
eider-transport Luxembourg,eider,"""eider"""
ion express Switzerland Inc,ion,"""ion"""
xenon logistik Spain,xenon,"""xenon"""
vivid logistics Inc,vivid,"""vivid"""
hadrian logistics Ltd,hadrian,"""hadrian"""
baltoro logistics AG,baltoro,"""baltoro"""
terra transport GmbH,terra,"""terra"""
desert transportes S.A.,desert,"""desert"""
niagara-logistics Luxembourg KG,niagara,"""niagara"""
odyssey transport KGaA,odyssey,"""odyssey"""
jaguar logistics SARL,jaguar,"""jaguar"""
orbis transport Belgique,orbis,"""orbis"""
granada transportes Nederland GmbH,granada,"""granada"""
gamma transport Inc,gamma,"""gamma"""
sapphire transport GmbH,sapphire,"""sapphire"""
helium logistik Nederland S.A.R.L.,helium,"""helium"""
helium logistik GmbH & Co. KG,helium,"""helium"""
gamma transport GmbH,gamma,"""gamma"""
everest logistics S.L.,everest,"""everest"""
obsidian logistics KG,obsidian,"""obsidian"""
drift-logistik Portugal,drift,"""drift"""
vortex transport Deutschland AG,vortex,"""vortex"""
rapids logistics Schweiz GmbH & Co. KG,rapids,"""rapids"""
vivid logistics Österreich KG,vivid,"""vivid"""
sahara transport B.V.,sahara,"""sahara"""
topaz logistics Inc,topaz,"""topaz"""
fjord transport Czechia GmbH & Co. KG,fjord,"""fjord"""
yukon transport Česko S.A.R.L.,yukon,"""yukon"""
hadrian logistics Nederland AG,hadrian,"""hadrian"""
quantum-transport GmbH & Co. KG,quantum,"""quantum"""
nocturne logistics S.A.R.L.,nocturne,"""nocturne"""
folium logistics Inc,folium,"""folium"""
meridian-logistik S.A.,meridian,"""meridian"""
xylem transport Schweiz KGaA,xylem,"""xylem"""
ultra express Austria KGaA,ultra,"""ultra"""
lemur-logistik S.A.R.L.,lemur,"""lemur"""
eider transport S.A.R.L.,eider,"""eider"""
nocturne logistics S.L.,nocturne,"""nocturne"""
quantum transport,quantum,"""quantum"""
sirocco logistique Danmark,sirocco,"""sirocco"""
horizon transport GmbH & Co. KG,horizon,"""horizon"""
caldera transport,caldera,"""caldera"""
dorsal-logistics Italia AG,dorsal,"""dorsal"""
elm logistics Austria AG,elm,"""elm"""
helium logistics Germany KGaA,helium,"""helium"""
alpine freight UK,alpine,"""alpine"""
mesa-transportes KG,mesa,"""mesa"""
banyan transport España S.A.R.L.,banyan,"""banyan"""
polar freight GmbH & Co. KG,polar,"""polar"""
zonda logistik GmbH & Co. KG,zonda,"""zonda"""
elm logistics GmbH & Co. KG,elm,"""elm"""
zircon logistik Norge S.A.,zircon,"""zircon"""
harbor express Inc,harbor,"""harbor"""
nocturne logistics GmbH,nocturne,"""nocturne"""
orbis transport,orbis,"""orbis"""
kasbah transport KGaA,kasbah,"""kasbah"""
lilac logistics Luxembourg,lilac,"""lilac"""
delphi logistics Sverige SARL,delphi,"""delphi"""
helio transport KGaA,helio,"""helio"""
sequoia transporte USA S.A.,sequoia,"""sequoia"""
umbra-express Austria SARL,umbra,"""umbra"""
fjordline logistik GmbH,fjordline,"""fjord"""
praxis logistics,praxis,"""praxis"""
valhalla logistics S.A.,valhalla,"""valhalla"""
odyssey transport Ltd,odyssey,"""odyssey"""
amber transport S.L.,amber,"""amber"""
sequoia transporte GmbH & Co. KG,sequoia,"""sequoia"""
praxis logistik KGaA,praxis,"""praxis"""
umbriel logistics S.A.R.L.,umbriel,"""umbriel"""
firenza express S.A.,firenza,"""firenza"""
umbra-logistics,umbra,"""umbra"""
ultra transport Italy,ultra,"""ultra"""
glacier-logistik S.L.,glacier,"""glacier"""
wharf transport Norge KG,wharf,"""wharf"""
orbis-transport Norge AG,orbis,"""orbis"""
umbriel logistics,umbriel,"""umbriel"""
odyssey transport,odyssey,"""odyssey"""
valhalla logistics Danmark KG,valhalla,"""valhalla"""
desert transportes GmbH & Co. KG,desert,"""desert"""
ibis transport België,ibis,"""ibis"""
falcon transport Belgique B.V.,falcon,"""falcon"""
pendulum logistics S.L.,pendulum,"""pendulum"""
fjord transport Suomi,fjord,"""fjord"""
pendulum-logistics Czechia,pendulum,"""pendulum"""
ruffian-logistics Austria,ruffian,"""ruffian"""
quatro logistik Italia GmbH & Co. KG,quatro,"""quatro"""
meridian logistik KG,meridian,"""meridian"""
jade logistics SARL,jade,"""jade"""
nebula express Inc,nebula,"""nebula"""
helium-logistics S.L.,helium,"""helium"""
sahara transport Czechia Ltd,sahara,"""sahara"""
whisper-transport België B.V.,whisper,"""whisper"""
tamarind-transport USA S.A.,tamarind,"""tamarind"""
solara transport Spain GmbH & Co. KG,solara,"""solara"""
lyra logistics Switzerland S.A.R.L.,lyra,"""lyra"""
canyon logistics Nederland KGaA,canyon,"""canyon"""
vortex transport Switzerland AG,vortex,"""vortex"""
glacier logistik Schweiz Ltd,glacier,"""glacier"""
odyssey transport S.A.R.L.,odyssey,"""odyssey"""
auric logistik Inc,auric,"""auric"""
equator-logistik,equator,"""equator"""
valhalla logistics AG,valhalla,"""valhalla"""
solstice express,solstice,"""solstice"""
bengal-express Ltd,bengal,"""bengal"""
glacier logistik B.V.,glacier,"""glacier"""
ruffian logistics Deutschland GmbH & Co. KG,ruffian,"""ruffian"""
xanthe-logistics Danmark SARL,xanthe,"""xanthe"""
emberline transport Switzerland S.A.R.L.,emberline,"""emberline"""
willow logistics GmbH,willow,"""willow"""
topaz logistics Germany SARL,topaz,"""topaz"""
quince transport GmbH & Co. KG,quince,"""quince"""
zephyr logistics Deutschland AG,zephyr,"""zephyr"""
zanzibar transportes Spain,zanzibar,"""zanzibar"""
umbra express Austria,umbra,"""umbra"""
vivid logistics Česko,vivid,"""vivid"""
ultra express Sverige KG,ultra,"""ultra"""
opal transport Česko GmbH & Co. KG,opal,"""opal"""
equinox-transport SARL,equinox,"""equinox"""
atlas logistik group Česko Ltd,atlas,"""atlas"""
ypsilon-transport S.A.R.L.,ypsilon,"""ypsilon"""
helium logistics España GmbH & Co. KG,helium,"""helium"""
ion express Norge GmbH & Co. KG,ion,"""ion"""
everest logistik S.A.R.L.,everest,"""everest"""
fractal logistics S.A.,fractal,"""fractal"""
solstice express S.A.,solstice,"""solstice"""
rapids-logistics,rapids,"""rapids"""
everest logistics Ltd,everest,"""everest"""
delphi logistics Sverige,delphi,"""delphi"""
lotus logistics,lotus,"""lotus"""
opal-transport GmbH & Co. KG,opal,"""opal"""
niagara logistics KG,niagara,"""niagara"""
caldera transport Polska GmbH,caldera,"""caldera"""
horizon transport,horizon,"""horizon"""
ambergris transport Deutschland GmbH & Co. KG,ambergris,"""ambergris"""
banyan-transport Inc,banyan,"""banyan"""
mono-transport S.A.,mono,"""mono"""
opal-transport KG,opal,"""opal"""
alpine freight,alpine,"""alpine"""
opal transport,opal,"""opal"""
gaia-logistics Germany GmbH,gaia,"""gaia"""
nebula logistique S.L.,nebula,"""nebula"""
vector freight Česko S.L.,vector,"""vector"""
whisper transport Norge S.A.,whisper,"""whisper"""
baltoro-logistics Nederland,baltoro,"""baltoro"""
kelvin-transport Austria,kelvin,"""kelvin"""
jasper logistik France GmbH & Co. KG,jasper,"""jasper"""
odyssey-transport,odyssey,"""odyssey"""
strata-transport Sverige B.V.,strata,"""strata"""
firenza express GmbH & Co. KG,firenza,"""frank"""
xenon-logistics GmbH & Co. KG,xenon,"""xenon"""
magma-transport Nederland,magma,"""magma"""
willow logistics,willow,"""willow"""
ionia-logistik,ionia,"""ionia"""
dorsal logistics,dorsal,"""dorsal"""
rapids-logistics Spain,rapids,"""rapids"""
mesa transportes Luxembourg,mesa,"""mesa"""
umbra logistics Italia GmbH & Co. KG,umbra,"""umbra"""
yukari-transport GmbH,yukari,"""yukari"""
delta freight België GmbH & Co. KG,delta,"""delta"""
hadrian-logistics Ltd,hadrian,"""hadrian"""
yukon transport,yukon,"""yukon"""
riviera transport Czechia,riviera,"""riviera"""
barley logistics Italia S.L.,barley,"""barley"""
falcon-transport,falcon,"""falcon"""
fjordline-logistics,fjordline,"""fjord"""
quince transport,quince,"""quince"""
jurassic logistics Austria AG,jurassic,"""jurassic"""
pacifica logistics Sverige Ltd,pacifica,"""pacifica"""
zanzibar transportes Deutschland Inc,zanzibar,"""zanzibar"""
polar freight België,polar,"""polar"""
kelvin transport Österreich GmbH & Co. KG,kelvin,"""kelvin"""
cascade logistik Nederland GmbH & Co. KG,cascade,"""cascade"""
caldera transport Suomi,caldera,"""caldera"""
obsidian logistics Ltd,obsidian,"""obsidian"""
solara transport,solara,"""solara"""
whisper-transport,whisper,"""whisper"""
nebula-logistique KGaA,nebula,"""nebula"""
niagara logistics,niagara,"""niagara"""
yukon transport Germany KGaA,yukon,"""yukon"""
ion-express GmbH & Co. KG,ion,"""ion"""
ibis transport,ibis,"""ibis"""
onyx transport B.V.,onyx,"""onyx"""
vanguard transportes KG,vanguard,"""vanguard"""
silverline logistics Norge S.L.,silverline,"""silverline"""
ruffian logistics GmbH & Co. KG,ruffian,"""ruffian"""
falcon transport,falcon,"""falcon"""
inkwell-transport Česko,inkwell,"""inkwell"""
kaldera transport,kaldera,"""kaldera"""
wildwood-transport,wildwood,"""wildwood"""
vector freight Austria S.L.,vector,"""vector"""
quasar transport Czechia GmbH & Co. KG,quasar,"""quasar"""
sapphire-transport Austria SARL,sapphire,"""sapphire"""
fractal logistics Luxembourg GmbH,fractal,"""fractal"""
ripple-logistics SARL,ripple,"""ripple"""
banyan transport,banyan,"""banyan"""
jasper-logistics S.A.,jasper,"""jasper"""
solara transport,solara,"""solara"""
jurassic logistics GmbH & Co. KG,jurassic,"""jurassic"""
solara transport B.V.,solara,"""solara"""
horizon transport Sverige KGaA,horizon,"""horizon"""
baltoro-logistics Portugal B.V.,baltoro,"""baltoro"""
helio transport Nederland S.A.R.L.,helio,"""helio"""
inkwell-transport USA SARL,inkwell,"""inkwell"""
lilac logistics Suomi SARL,lilac,"""lilac"""
nebula-logistique S.L.,nebula,"""nebula"""
yara transport België S.L.,yara,"""yara"""
banyan transport Switzerland KGaA,banyan,"""banyan"""
ember transport B.V.,ember,"""ember"""
auric logistik Schweiz,auric,"""auric"""
tamarind transport Österreich,tamarind,"""tamarind"""
fjord transport,fjord,"""fjord"""
yonder-logistics Belgique,yonder,"""yonder"""
riviera-transport Germany,riviera,"""riviera"""
ibiza transportes S.L.,ibiza,"""ibiza"""
jaguar logistics USA S.L.,jaguar,"""jaguar"""
zephyr logistics USA KG,zephyr,"""zephyr"""
ember transport Polska GmbH & Co. KG,ember,"""ember"""
opal transport,opal,"""opal"""
ambergris transport Sverige SARL,ambergris,"""ambergris"""
tundra-transportes Czechia AG,tundra,"""tundra"""
gobi transportes Czechia S.L.,gobi,"""gobi"""
ultra transport Czechia S.A.R.L.,ultra,"""ultra"""
vortex-transport Inc,vortex,"""vortex"""
harbor express UK,harbor,"""harbor"""
tamarind-transport UK KGaA,tamarind,"""tamarind"""
cumulus-logistics Italy SARL,cumulus,"""cumulus"""
sahara-transport,sahara,"""sahara"""
vortex transport Germany KGaA,vortex,"""vortex"""
yonder logistics Nederland KGaA,yonder,"""yonder"""
nylon logistics Italy Inc,nylon,"""nylon"""
atlas-logistics group GmbH & Co. KG,atlas,"""atlas"""
lyra logistik,lyra,"""lyra"""
lotus logistics Schweiz,lotus,"""lotus"""
yukari-transport Österreich,yukari,"""yukari"""
prairie-logistics GmbH & Co. KG,prairie,"""prairie"""
delphi logistics B.V.,delphi,"""delphi"""
ion express Česko,ion,"""ion"""
yukon transport België GmbH & Co. KG,yukon,"""yukon"""
lotus-logistics GmbH & Co. KG,lotus,"""lotus"""
willow logistics Switzerland SARL,willow,"""willow"""
baltoro-logistics GmbH,baltoro,"""baltoro"""
terra transport Czechia KGaA,terra,"""terra"""
equinox transport France GmbH & Co. KG,equinox,"""equinox"""
jurassic logistics Luxembourg KGaA,jurassic,"""jurassic"""
ripple logistics Germany GmbH & Co. KG,ripple,"""ripple"""
zonda logistik UK,zonda,"""zonda"""
wharf transport Österreich KGaA,wharf,"""wharf"""
caldera transport GmbH & Co. KG,caldera,"""caldera"""
odyssey transport,odyssey,"""odyssey"""
apollo-transport Czechia S.A.R.L.,apollo,"""apollo"""
keystone transport España AG,keystone,"""keystone"""
alpine freight Inc,alpine,"""alpine"""
lotus logistics Polska,lotus,"""lotus"""
balsam-logistics,balsam,"""balsam"""
gaia logistics GmbH,gaia,"""gaia"""
balsam logistik Danmark GmbH,balsam,"""balsam"""
balsam logistics Spain GmbH,balsam,"""balsam"""
emberline transport Schweiz GmbH,emberline,"""emberline"""
dorsal-logistics,dorsal,"""dorsal"""
sirocco logistique KGaA,sirocco,"""sirocco"""
dorsal-logistics,dorsal,"""dorsal"""
quatro logistics GmbH,quatro,"""quatro"""
horizon-transport Polska S.A.,horizon,"""horizon"""
tango transport S.A.,tango,"""tango"""
lotus-logistik Česko,lotus,"""lotus"""
tango transport Italia,tango,"""tango"""
elm logistics S.A.,elm,"""elm"""
solara-transport GmbH & Co. KG,solara,"""solara"""
praxis logistics AG,praxis,"""praxis"""
cumulus-logistics Polska,cumulus,"""cumulus"""
solara-transport Italy,solara,"""solara"""
solstice express,solstice,"""solstice"""
xplore logistics Germany,xplore,"""xplore"""
sahara transport Switzerland,sahara,"""sahara"""
titan-transport S.A.,titan,"""titan"""
wildwood transport Nederland,wildwood,"""wildwood"""
laguna transportes,laguna,"""laguna"""
niagara logistik S.A.R.L.,niagara,"""niagara"""
yukon transport SARL,yukon,"""yukon"""
canyon logistik AG,canyon,"""canyon"""
ibis transport Belgique AG,ibis,"""ibis"""
xenon logistik UK,xenon,"""xenon"""
granada transportes Luxembourg,granada,"""granada"""
willow logistik GmbH & Co. KG,willow,"""willow"""
pendulum logistics Polska SARL,pendulum,"""pendulum"""
sierra logistics Österreich,sierra,"""sierra"""
prairie-logistik Czechia GmbH & Co. KG,prairie,"""prairie"""
cumulus logistics Luxembourg AG,cumulus,"""cumulus"""
vortex transport Czechia GmbH & Co. KG,vortex,"""vortex"""
fractal logistics Schweiz Ltd,fractal,"""fractal"""
ripple logistics KGaA,ripple,"""ripple"""
zanzibar transportes Polska KG,zanzibar,"""zanzibar"""
jasper logistics Polska S.L.,jasper,"""jasper"""
fjordline-logistics GmbH & Co. KG,fjordline,"""fjord"""
vanguard transporte GmbH & Co. KG,vanguard,"""vanguard"""
valhalla logistics Nederland GmbH & Co. KG,valhalla,"""valhalla"""
keystone transport Deutschland,keystone,"""keystone"""
ion express Inc,ion,"""ion"""
keystone-transport GmbH & Co. KG,keystone,"""keystone"""
ionia logistics Polska,ionia,"""ionia"""
ibiza transportes,ibiza,"""ibiza"""
fjord transport Luxembourg SARL,fjord,"""fjord"""
riviera transport Česko,riviera,"""riviera"""
folium logistics Polska GmbH & Co. KG,folium,"""folium"""
jade logistics KGaA,jade,"""jade"""
solstice express Ltd,solstice,"""solstice"""
odyssey transport,odyssey,"""odyssey"""
equinox transport SARL,equinox,"""equinox"""
gamma transport Spain S.A.R.L.,gamma,"""gamma"""
gamma transport Norge S.A.R.L.,gamma,"""gamma"""
zephyr logistics België,zephyr,"""zephyr"""
everest-logistics Deutschland S.A.R.L.,everest,"""everest"""
eider transport GmbH & Co. KG,eider,"""eider"""
yukari transport,yukari,"""yukari"""
bengal express,bengal,"""bengal"""
quasar transport KG,quasar,"""quasar"""
quatro logistik,quatro,"""quatro"""
ultra express Inc,ultra,"""ultra"""
delphi logistics,delphi,"""delphi"""
jasper logistics Italy SARL,jasper,"""jasper"""
orbis-transport Portugal KG,orbis,"""orbis"""
equinox transport UK GmbH & Co. KG,equinox,"""equinox"""
umbra express Österreich S.A.,umbra,"""umbra"""
xanthe logistics S.A.R.L.,xanthe,"""xanthe"""
yonder logistics Italia,yonder,"""yonder"""
baltoro-logistics België,baltoro,"""baltoro"""
tundra transportes,tundra,"""tundra"""
magma transport Deutschland AG,magma,"""magma"""
praxis logistics UK S.A.R.L.,praxis,"""praxis"""
xylem-transport,xylem,"""xylen"""
lotus-logistics KG,lotus,"""lotus"""
waratah logistics Italy KG,waratah,"""waratah"""
fjordline logistik Sverige GmbH,fjordline,"""fjord"""
amber-transport Ltd,amber,"""amber"""
emberline transport Sverige,emberline,"""emberline"""
yonder-logistics USA S.A.R.L.,yonder,"""yonder"""
jade logistik,jade,"""jade"""
delphi logistics,delphi,"""delphi"""
fractal logistik Schweiz,fractal,"""fractal"""
odyssey-transport GmbH & Co. KG,odyssey,"""odyssey"""
vivid-logistik Austria GmbH,vivid,"""vivid"""
glacier logistik Sverige KG,glacier,"""glacier"""
zephyr-logistics AG,zephyr,"""zephyr"""
inkwell transport Nederland GmbH,inkwell,"""inkwell"""
cumulus-logistics GmbH & Co. KG,cumulus,"""cumulus"""
ibis transport Inc,ibis,"""ibis"""
ypsilon transport Ltd,ypsilon,"""ypsilon"""
polar freight KGaA,polar,"""polar"""
niagara logistics,niagara,"""niagara"""
crater transport,crater,"""crater"""
glacier-logistik,glacier,"""glacier"""
ibiza transportes,ibiza,"""ibiza"""
onyx transport España GmbH,onyx,"""onyx"""
orbis transport S.A.,orbis,"""orbis"""
magma-transport S.A.,magma,"""magma"""
zanzibar-transp.,zanzibar,"""zanzibar"""
mesa transportes AG,mesa,"""mesa"""
riviera transport B.V.,riviera,"""riviera"""
sierra logistics Switzerland B.V.,sierra,"""sierra"""
fractal logistics Norge,fractal,"""fractal"""
yonder logistics Deutschland GmbH & Co. KG,yonder,"""yonder"""
